272Rg  272  111    1    0    1    1    0.000000    0.468000
  1   0.000000  -1.0  0  4.200E-03  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
273Rg  273  111    1    0    1    1    7.960000    0.487000
  1   0.000000  -1.0  0  2.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
274Rg  274  111    1    0    1    1    6.344000    0.962000
  1   0.000000  -1.0  0  2.000E-02  0                            1 AP 1.0000E+02 %A                                                                                                                                                                                                             0.000000       
275Rg  275  111    1    0    1    1    7.288000    1.091000
  1   0.000000  -1.0  0  5.000E-03  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
276Rg  276  111    1    0    1    1    6.080000    1.568000
  1   0.000000  -1.0  0  1.000E-02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
277Rg  277  111    1    0    1    1    7.051000    1.421000
  1   0.000000  -1.0  0  4.000E-03  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
278Rg  278  111    1    0    1    1    5.958000    1.861000
  1   0.000000  -1.0  0  8.000E-03  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
279Rg  279  111    1    0    1    1    6.870000    1.818000
  1   0.000000  -1.0  0  1.700E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
280Rg  280  111    1    0    1    1    5.907000    2.427000
  1   0.000000  -1.0  0  4.300E+00  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
281Rg  281  111    1    0    1    1    6.624000    2.276000
  1   0.000000  -1.0  0  1.900E+01  0   X                        2 =  8.7000E+01 %SF     =  1.3000E+01 %A                                                                                                                                                                                       0.000000       
282Rg  282  111    1    0    1    1    5.663000    2.820000
  1   0.000000  -1.0  0  1.300E+02  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
283Rg  283  111    1    0    1    1    6.433000    2.699000
  1   0.000000  -1.0  0  1.200E+02  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
284Rg  284  111    1    0    1    1    5.481000    3.148000
  1   0.000000  -1.0  0  6.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
285Rg  285  111    1    0    1    1    6.312000    3.019000
  1   0.000000  -1.0  0  3.000E+01  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
286Rg  286  111    1    0    1    1    5.291000    0.000000
  1   0.000000  -1.0  0  1.000E+01  0                            2 AP 1.0000E+02 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
