289Lv  289  116    1    0    1    1    0.000000    2.498000
  1   0.000000  -1.0  0  1.600E-02  0                            1 ?  0.0000E+00 %A                                                                                                                                                                                                             0.000000       
290Lv  290  116    1    0    1    1    7.501000    2.944000
  1   0.000000   0.0  1  9.000E-03  0                        0+  2 AP 1.0000E+02 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
291Lv  291  116    1    0    1    1    5.855000    2.837000
  1   0.000000  -1.0  0  2.600E-02  0   X                        2 AP 1.0000E+02 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
292Lv  292  116    1    0    1    1    7.182000    3.336000
  1   0.000000   0.0  1  1.600E-02  0                        0+  2 AP 1.0000E+02 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
293Lv  293  116    1    0    1    1    5.636000    3.321000
  1   0.000000  -1.0  0  7.000E-02  0                            2 AP 1.0000E+02 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
