287Mc  287  115    1    0    1    1    0.000000    1.147000
  1   0.000000  -1.0  0  6.000E-02  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
288Mc  288  115    1    0    1    1    6.154000    1.552000
  1   0.000000  -1.0  0  1.770E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
289Mc  289  115    1    0    1    1    7.054000    1.523000
  1   0.000000  -1.0  0  4.100E-01  0   X                        1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
290Mc  290  115    1    0    1    1    5.963000    1.963000
  1   0.000000  -1.0  0  8.400E-01  0                            1 =  1.0000E+02 %A                                                                                                                                                                                                             0.000000       
291Mc  291  115    1    0    1    1    6.683000    1.840000
  1   0.000000  -1.0  0  1.000E+00  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
292Mc  292  115    1    0    1    1    5.651000    2.189000
  1   0.000000  -1.0  0  5.000E+00  0                            2 ?  0.0000E+00 %A      ?  0.0000E+00 %SF                                                                                                                                                                                      0.000000       
